,Title,Year,Genre,Awards,Metascore,BoxOffice
0,The Widow of Saint-Pierre,2000,"Drama, History, Romance",Nominated for 1 Golden Globe. Another 3 wins & 8 nominations.,73.0,$0
1,Nurse Betty,2000,"Comedy, Crime, Drama, Romance",Won 1 Golden Globe. Another 4 wins & 14 nominations.,69.0,$0
2,Fiza,2000,"Action, Crime, Drama",4 wins & 18 nominations.,0.0,$0
3,Duets,2000,"Comedy, Drama, Music, Romance",1 nomination.,40.0,"$4,262,782"
4,Brother,2000,"Crime, Drama, Thriller",1 win & 1 nomination.,47.0,$0
5,Sexy Beast,2000,"Crime, Drama, Thriller",Nominated for 1 Oscar. Another 21 wins & 20 nominations.,79.0,"$5,972,627"
6,Men of Honor,2000,"Biography, Drama",11 nominations.,56.0,$0
7,Rugrats in Paris: The Movie,2000,"Animation, Adventure, Comedy, Family, Romance",3 wins & 7 nominations.,62.0,$0
81,Nutty Professor II: The Klumps,2000,"Comedy, Romance, Sci-Fi",2 wins & 12 nominations.,38.0,"$122,385,345"
8,The Way of the Gun,2000,"Action, Crime, Drama, Thriller",none,49.0,"$5,225,573"
10,Urban Legends: Final Cut,2000,"Horror, Mystery, Thriller",1 win & 1 nomination.,16.0,"$21,007,274"
11,The Specials,2000,"Action, Comedy, Fantasy, Sci-Fi",none,38.0,$0
12,Woman on Top,2000,"Comedy, Fantasy, Romance",3 nominations.,41.0,"$4,513,772"
13,The House of Mirth,2000,"Romance, Drama",Nominated for 1 BAFTA Film Award. Another 6 wins & 28 nominations.,78.0,$0
14,Remember the Titans,2000,"Biography, Drama, Sport",8 wins & 17 nominations.,48.0,"$114,297,071"
15,George Washington,2000,Drama,9 wins & 15 nominations.,82.0,$0
16,"Crouching Tiger, Hidden Dragon",2000,"Action, Adventure, Fantasy, Romance",Won 4 Oscars. Another 96 wins & 130 nominations.,93.0,$0
9,Almost Famous,2000,"Adventure, Comedy, Drama, Music",Won 1 Oscar. Another 52 wins & 103 nominations.,90.0,"$31,716,715"
17,Best in Show,2000,Comedy,Nominated for 1 Golden Globe. Another 11 wins & 13 nominations.,78.0,"$16,574,225"
18,The Watcher,2000,"Crime, Horror, Mystery, Thriller",1 nomination.,22.0,"$28,572,915"
19,Dungeons & Dragons,2000,"Action, Adventure, Fantasy",11 nominations.,14.0,"$14,813,627"
22,Hollow Man,2000,"Action, Horror, Sci-Fi, Thriller",Nominated for 1 Oscar. Another 7 wins & 11 nominations.,24.0,"$72,055,301"
23,Psycho Beach Party,2000,"Comedy, Horror, Mystery",3 wins & 1 nomination.,42.0,$0
24,The Replacements,2000,"Comedy, Sport",none,30.0,"$44,004,460"
25,Bless the Child,2000,"Crime, Drama, Horror",1 win & 6 nominations.,17.0,"$28,134,407"
26,Autumn in New York,2000,"Drama, Romance",3 nominations.,24.0,$0
27,The Cell,2000,"Horror, Sci-Fi, Thriller",Nominated for 1 Oscar. Another 6 wins & 23 nominations.,40.0,$0
28,The Original Kings of Comedy,2000,"Comedy, Documentary",3 nominations.,76.0,"$37,680,981"
21,Space Cowboys,2000,"Action, Adventure, Thriller",Nominated for 1 Oscar. Another 4 wins & 7 nominations.,73.0,$0
29,The Crew,2000,"Crime, Comedy",1 win.,37.0,"$12,485,210"
31,Bring It On,2000,"Comedy, Romance, Sport",2 wins & 7 nominations.,52.0,"$67,905,760"
32,"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime, Music",Nominated for 2 Oscars. Another 7 wins & 35 nominations.,69.0,"$45,150,731"
33,Nine Queens,2000,"Crime, Drama, Thriller",22 wins & 8 nominations.,80.0,"$1,078,919"
34,Whipped,2000,"Comedy, Romance",1 nomination.,10.0,"$3,780,907"
35,Snatch,2000,"Comedy, Crime",4 wins & 6 nominations.,55.0,"$30,093,107"
36,Dinner Rush,2000,"Crime, Drama, Romance",2 wins.,79.0,$0
37,Highlander: Endgame,2000,"Action, Adventure, Fantasy, Sci-Fi",none,21.0,$0
30,The Art of War,2000,"Action, Adventure, Crime, Thriller",2 wins & 9 nominations.,30.0,"$29,458,928"
38,Bamboozled,2000,"Comedy, Drama, Music",1 win & 10 nominations.,50.0,"$1,883,628"
39,Get Carter,2000,"Action, Crime, Drama, Thriller",5 nominations.,24.0,"$14,551,088"
20,Pollock,2000,"Biography, Drama",Won 1 Oscar. Another 2 wins & 9 nominations.,77.0,"$7,280,174"
41,102 Dalmatians,2000,"Adventure, Comedy, Family",Nominated for 1 Oscar. Another 1 win & 6 nominations.,35.0,"$65,406,212"
42,The Emperor's New Groove,2000,"Animation, Adventure, Comedy, Family, Fantasy",Nominated for 1 Oscar. Another 7 wins & 26 nominations.,70.0,"$87,320,505"
43,All the Pretty Horses,2000,"Drama, Romance, Western",Nominated for 1 Golden Globe. Another 2 wins & 13 nominations.,55.0,"$14,713,716"
44,The Family Man,2000,"Comedy, Drama, Fantasy, Romance",4 wins & 6 nominations.,42.0,$0
45,Chocolat,2000,"Drama, Romance",Nominated for 5 Oscars. Another 7 wins & 30 nominations.,64.0,$0
46,Miss Congeniality,2000,"Action, Comedy, Crime, Romance",Nominated for 2 Golden Globes. Another 7 wins & 5 nominations.,43.0,$0
48,What Women Want,2000,"Comedy, Fantasy, Romance",Nominated for 1 Golden Globe. Another 5 wins & 8 nominations.,47.0,"$181,483,882"
49,Finding Forrester,2000,Drama,5 wins & 13 nominations.,62.0,"$51,370,406"
50,Cast Away,2000,"Adventure, Drama, Romance",Nominated for 2 Oscars. Another 15 wins & 33 nominations.,73.0,$0
47,"Dude, Where's My Car?",2000,"Comedy, Mystery, Sci-Fi",5 nominations.,30.0,"$44,992,961"
52,An Everlasting Piece,2000,Comedy,1 nomination.,56.0,"$9,128"
53,Thirteen Days,2000,"Drama, History, Thriller",3 wins & 7 nominations.,67.0,$0
54,Traffic,2000,"Crime, Drama, Thriller",Won 4 Oscars. Another 69 wins & 83 nominations.,86.0,"$123,836,420"
55,The Claim,2000,"Drama, Romance, Western",1 win & 10 nominations.,62.0,$0
56,Songcatcher,2000,"Drama, Music",5 wins & 5 nominations.,63.0,"$1,634,064"
57,Everything Put Together,2000,Drama,1 win & 2 nominations.,63.0,$0
51,Dracula 2000,2000,"Action, Fantasy, Horror, Thriller",1 nomination.,26.0,$0
58,Pandaemonium,2000,"Biography, Drama",2 wins & 1 nomination.,60.0,$0
59,Vertical Limit,2000,"Action, Adventure, Drama, Thriller",Nominated for 1 BAFTA Film Award. Another 2 wins & 3 nominations.,48.0,"$67,771,442"
80,Quills,2000,"Biography, Drama",Nominated for 3 Oscars. Another 18 wins & 41 nominations.,70.0,"$4,284,664"
68,The Little Vampire,2000,"Adventure, Comedy, Family",1 win & 3 nominations.,45.0,"$13,432,508"
72,Mercy Streets,2000,"Action, Drama, Crime",none,28.0,$0
62,You Can Count on Me,2000,Drama,Nominated for 2 Oscars. Another 30 wins & 41 nominations.,85.0,"$8,409,329"
64,Lost Souls,2000,"Drama, Horror, Thriller",2 nominations.,16.0,$0
65,The Contender,2000,"Drama, Thriller",Nominated for 2 Oscars. Another 1 win & 20 nominations.,59.0,"$16,120,906"
66,The Ladies Man,2000,Comedy,1 nomination.,22.0,"$13,384,928"
67,Bedazzled,2000,"Comedy, Fantasy",1 win & 3 nominations.,49.0,$0
69,Book of Shadows: Blair Witch 2,2000,"Adventure, Fantasy, Horror, Mystery, Thriller",2 wins & 8 nominations.,15.0,$0
70,Lucky Numbers,2000,"Comedy, Crime",2 wins & 1 nomination.,31.0,"$9,534,013"
61,Proof of Life,2000,"Action, Drama, Thriller",5 nominations.,45.0,"$31,193,043"
71,Requiem for a Dream,2000,Drama,Nominated for 1 Oscar. Another 33 wins & 62 nominations.,68.0,"$2,546,851"
73,Charlie's Angels,2000,"Action, Adventure, Comedy, Crime, Thriller",14 wins & 30 nominations.,52.0,"$124,420,707"
74,The Legend of Bagger Vance,2000,"Drama, Fantasy, Sport",2 wins & 10 nominations.,47.0,"$30,366,277"
75,Little Nicky,2000,"Comedy, Fantasy",1 win & 12 nominations.,38.0,"$38,542,597"
76,Red Planet,2000,"Action, Sci-Fi, Thriller",1 nomination.,34.0,$0
77,Unbreakable,2000,"Drama, Mystery, Sci-Fi, Thriller",2 wins & 13 nominations.,62.0,"$95,000,000"
78,The 6th Day,2000,"Action, Mystery, Sci-Fi, Thriller",8 nominations.,49.0,"$33,813,823"
40,Meet the Parents,2000,"Comedy, Romance",Nominated for 1 Oscar. Another 7 wins & 14 nominations.,73.0,"$164,454,835"
79,How the Grinch Stole Christmas,2000,"Comedy, Family, Fantasy",Won 1 Oscar. Another 17 wins & 37 nominations.,46.0,"$259,011,600"
60,Coyote Ugly,2000,"Comedy, Drama, Music, Romance",4 wins & 7 nominations.,27.0,$0
126,Shanghai Noon,2000,"Action, Adventure, Comedy, Western",1 win & 7 nominations.,77.0,$0
63,Pay It Forward,2000,Drama,1 win & 4 nominations.,40.0,"$32,801,029"
144,Dinosaur,2000,"Animation, Adventure, Family, Thriller",4 wins & 21 nominations.,56.0,"$135,606,304"
85,Drowning Mona,2000,"Comedy, Crime, Mystery",1 nomination.,25.0,$0
86,Mission to Mars,2000,"Adventure, Sci-Fi, Thriller",1 nomination.,34.0,$0
87,The Young Unknowns,2000,Drama,1 win.,43.0,$0
88,The Perfect Storm,2000,"Action, Adventure, Drama, Thriller",Nominated for 2 Oscars. Another 4 wins & 25 nominations.,59.0,$0
89,Final Destination,2000,"Horror, Thriller",3 wins & 3 nominations.,36.0,$0
90,High Fidelity,2000,"Comedy, Drama, Music, Romance",Nominated for 1 Golden Globe. Another 3 wins & 21 nominations.,79.0,$0
91,What Planet Are You From?,2000,"Comedy, Sci-Fi",1 nomination.,41.0,$0
84,The Next Best Thing,2000,"Comedy, Drama, Romance",3 wins & 10 nominations.,25.0,$0
92,Digimon: The Movie,2000,"Animation, Action, Adventure, Family, Sci-Fi",none,20.0,"$9,009,288"
94,Here on Earth,2000,"Drama, Romance",2 nominations.,25.0,$0
95,Whatever It Takes,2000,"Comedy, Drama, Romance",3 nominations.,20.0,$0
96,The Road to El Dorado,2000,"Animation, Adventure, Comedy, Family, Romance",1 win & 12 nominations.,51.0,$0
97,The Skulls,2000,"Action, Crime, Drama, Thriller",1 nomination.,24.0,$0
98,28 Days,2000,"Comedy, Drama",1 win.,46.0,$0
99,Return to Me,2000,"Comedy, Drama, Romance",1 win & 2 nominations.,54.0,$0
100,Erin Brockovich,2000,"Biography, Drama",Won 1 Oscar. Another 31 wins & 58 nominations.,73.0,$0
93,Romeo Must Die,2000,"Action, Crime, Thriller",2 wins & 7 nominations.,52.0,$0
102,Wonder Boys,2000,"Comedy, Drama",Won 1 Oscar. Another 19 wins & 46 nominations.,73.0,$0
103,The Whole Nine Yards,2000,"Comedy, Crime",5 nominations.,47.0,"$57,262,492"
113,Anatomy,2000,"Horror, Thriller",1 win & 3 nominations.,33.0,$0
82,Memento,2000,"Mystery, Thriller",Nominated for 2 Oscars. Another 56 wins & 55 nominations.,80.0,"$23,844,220"
105,Supernova,2000,"Horror, Sci-Fi, Thriller",none,19.0,$0
106,Next Friday,2000,Comedy,1 nomination.,41.0,$0
107,Thomas and the Magic Railroad,2000,"Adventure, Comedy, Drama, Family, Fantasy",2 nominations.,19.0,"$2,027,042"
108,Down to You,2000,"Comedy, Drama, Romance",1 win & 3 nominations.,13.0,$0
109,Urbania,2000,Drama,5 wins & 4 nominations.,73.0,$0
110,Isn't She Great,2000,"Biography, Comedy, Drama",2 nominations.,34.0,$0
111,The Broken Hearts Club: A Romantic Comedy,2000,"Comedy, Drama, Romance",1 win & 1 nomination.,51.0,$0
104,My Dog Skip,2000,"Comedy, Drama, Family",7 wins & 4 nominations.,61.0,$0
112,Scream 3,2000,"Horror, Mystery",5 wins & 5 nominations.,56.0,$0
114,Gun Shy,2000,"Comedy, Crime, Romance",none,42.0,$0
115,The Tigger Movie,2000,"Animation, Comedy, Drama, Family, Musical",4 nominations.,53.0,$0
116,The Beach,2000,"Adventure, Drama, Romance, Thriller",7 nominations.,43.0,$0
117,Snow Day,2000,"Adventure, Comedy, Family",4 nominations.,34.0,$0
118,Hanging Up,2000,"Comedy, Drama",2 wins & 1 nomination.,33.0,$0
119,Pitch Black,2000,"Horror, Sci-Fi",2 wins & 4 nominations.,49.0,$0
120,Boiler Room,2000,"Crime, Drama, Thriller",1 win & 9 nominations.,63.0,$0
121,Ready to Rumble,2000,"Comedy, Sport",1 nomination.,23.0,$0
122,American Psycho,2000,"Crime, Drama",5 wins & 8 nominations.,64.0,$0
101,Reindeer Games,2000,"Action, Adventure, Crime, Drama, Thriller",3 nominations.,37.0,$0
124,U-571,2000,"Action, War",Won 1 Oscar. Another 3 wins & 10 nominations.,62.0,$0
143,Chicken Run,2000,"Animation, Adventure, Comedy, Drama, Family",Nominated for 1 Golden Globe. Another 23 wins & 25 nominations.,88.0,"$106,604,314"
125,Mission: Impossible II,2000,"Action, Adventure, Thriller",11 wins & 19 nominations.,59.0,$0
127,Hum To Mohabbat Karega,2000,"Action, Comedy, Romance",none,0.0,$0
128,Big Momma's House,2000,"Action, Comedy, Crime",1 win & 9 nominations.,33.0,"$492,734"
129,Groove,2000,"Drama, Music",2 nominations.,54.0,$0
130,Gone in Sixty Seconds,2000,"Action, Crime, Thriller",9 wins & 6 nominations.,35.0,"$100,978,700"
132,Boys and Girls,2000,"Comedy, Drama, Romance",none,29.0,$0
133,Small Time Crooks,2000,"Comedy, Crime",Nominated for 1 Golden Globe. Another 1 win & 3 nominations.,69.0,$0
145,Shaft,2000,"Action, Crime, Thriller",1 win & 13 nominations.,50.0,"$70,334,258"
134,Amores Perros,2000,"Drama, Thriller",Nominated for 1 Oscar. Another 54 wins & 22 nominations.,83.0,"$4,856,342"
136,The Patriot,2000,"Action, Drama, History, War",Nominated for 3 Oscars. Another 8 wins & 18 nominations.,63.0,"$2,317,507"
137,The Adventures of Rocky & Bullwinkle,2000,"Animation, Adventure, Comedy, Family, Fantasy",2 wins & 6 nominations.,36.0,"$411,840"
138,Keeping the Faith,2000,"Comedy, Drama, Romance",2 wins & 5 nominations.,60.0,$0
139,Aberdeen,2000,Drama,9 wins & 7 nominations.,78.0,$0
140,Loser,2000,"Comedy, Romance",1 nomination.,35.0,$0
141,The In Crowd,2000,"Drama, Mystery, Thriller",none,14.0,$0
123,3 Strikes,2000,Comedy,none,11.0,$0
142,X-Men,2000,"Action, Adventure, Sci-Fi",13 wins & 26 nominations.,64.0,"$156,164,829"
135,"Me, Myself & Irene",2000,Comedy,2 wins & 4 nominations.,49.0,"$560,525"
83,What Lies Beneath,2000,"Drama, Fantasy, Horror, Mystery, Thriller",5 wins & 5 nominations.,51.0,"$155,018,556"
131,Titan A.E.,2000,"Animation, Action, Adventure, Family, Sci-Fi",1 win & 6 nominations.,48.0,$0
146,Road Trip,2000,"Adventure, Comedy",4 wins & 9 nominations.,55.0,$0
147,Gossip,2000,"Drama, Mystery, Thriller",3 nominations.,31.0,$0
148,Tadpole,2000,"Comedy, Drama, Romance",3 wins & 4 nominations.,71.0,"$2,882,062"
149,Where the Heart Is,2000,"Comedy, Drama, Romance",1 win & 2 nominations.,30.0,$0
150,The Flintstones in Viva Rock Vegas,2000,"Comedy, Family, Romance, Sci-Fi",1 win & 9 nominations.,27.0,$0
151,Frequency,2000,"Crime, Drama, Mystery, Sci-Fi, Thriller",Nominated for 1 Golden Globe. Another 2 wins & 7 nominations.,67.0,$0
153,Michael Jordan to the Max,2000,"Documentary, Sport",1 nomination.,57.0,$0
154,I Dreamed of Africa,2000,"Adventure, Drama, Romance",3 nominations.,33.0,$0
155,The Yards,2000,"Crime, Drama, Romance, Thriller",3 wins & 2 nominations.,58.0,$0
152,Gladiator,2000,"Action, Adventure, Drama",Won 5 Oscars. Another 53 wins & 101 nominations.,67.0,$0
157,Billy Elliot,2000,"Drama, Music, Romance",Nominated for 3 Oscars. Another 54 wins & 65 nominations.,74.0,$0
158,Battlefield Earth,2000,"Action, Adventure, Sci-Fi",19 wins & 3 nominations.,9.0,$0
159,Cecil B. DeMented,2000,"Comedy, Crime, Thriller",2 nominations.,57.0,$0
160,Dancer in the Dark,2000,"Crime, Drama, Musical",Nominated for 1 Oscar. Another 33 wins & 46 nominations.,61.0,"$2,839,256"
161,Lisa Picard Is Famous,2000,"Comedy, Drama",1 nomination.,57.0,$0
162,Screwed,2000,"Comedy, Crime",none,7.0,$0
156,Center Stage,2000,"Drama, Music, Romance",1 win.,52.0,$0
163,Shadow of the Vampire,2000,"Drama, Horror",Nominated for 2 Oscars. Another 14 wins & 24 nominations.,71.0,"$7,518,962"
170,Last Orders,2001,Drama,2 wins & 5 nominations.,78.0,"$2,197,234"
169,Buffalo Soldiers,2001,"Comedy, Crime, Drama, Thriller, War",1 win & 6 nominations.,56.0,$0
168,Knockaround Guys,2001,"Crime, Drama, Thriller",2 nominations.,30.0,"$11,509,127"
165,Megiddo: The Omega Code 2,2001,"Action, Adventure, Fantasy",1 nomination.,35.0,"$5,637,512"
166,Bandits,2001,"Comedy, Crime, Drama, Romance",Nominated for 2 Golden Globes. Another 4 wins & 5 nominations.,60.0,"$41,176,738"
171,The Lost Skeleton of Cadavra,2001,"Comedy, Horror, Sci-Fi",2 nominations.,45.0,$0
164,Max Keeble's Big Move,2001,"Comedy, Crime, Family",1 win & 1 nomination.,40.0,"$16,504,546"
167,Hearts in Atlantis,2001,"Drama, Mystery",2 wins & 8 nominations.,55.0,"$23,604,382"
172,Hardball,2001,"Drama, Sport",2 nominations.,48.0,"$39,697,363"
179,Training Day,2001,"Crime, Drama, Thriller",Won 1 Oscar. Another 15 wins & 23 nominations.,69.0,$0
174,Glitter,2001,"Drama, Music, Romance",3 wins & 10 nominations.,14.0,"$3,865,759"
175,Zoolander,2001,Comedy,1 win & 11 nominations.,61.0,"$44,724,316"
176,Don't Say a Word,2001,"Drama, Mystery, Thriller",1 nomination.,38.0,"$54,218,420"
177,The Royal Tenenbaums,2001,"Comedy, Drama",Nominated for 1 Oscar. Another 10 wins & 45 nominations.,76.0,"$52,307,676"
178,Serendipity,2001,"Comedy, Romance",3 nominations.,52.0,"$49,968,653"
181,The Glass House,2001,"Crime, Drama, Mystery, Thriller",3 nominations.,34.0,"$17,387,693"
180,Joy Ride,2001,"Mystery, Thriller",3 nominations.,75.0,"$21,254,983"
253,Rat Race,2001,"Adventure, Comedy",3 nominations.,52.0,"$55,843,381"
173,Ayurveda: Art of Being,2001,Documentary,2 wins.,45.0,$0
182,Two Can Play That Game,2001,"Comedy, Romance",7 nominations.,35.0,"$22,012,529"
190,Captain Corelli's Mandolin,2001,"Drama, Music, Romance, War",2 wins & 5 nominations.,36.0,"$25,261,240"
206,The Majestic,2001,"Drama, Romance",3 wins & 1 nomination.,27.0,$0
188,Osmosis Jones,2001,"Animation, Action, Adventure, Comedy, Crime, Family, Fantasy",1 win & 7 nominations.,57.0,"$12,344,938"
183,Session 9,2001,"Horror, Mystery",2 wins & 1 nomination.,58.0,$0
189,American Pie 2,2001,Comedy,8 wins & 6 nominations.,43.0,"$144,044,409"
191,American Outlaws,2001,"Action, Western",7 nominations.,25.0,"$11,888,985"
192,The Legend of Suriyothai,2001,"Action, Adventure, Drama",none,58.0,"$277,562"
193,Summer Catch,2001,"Comedy, Drama, Romance, Sport",1 nomination.,21.0,"$19,037,255"
194,Jay and Silent Bob Strike Back,2001,Comedy,1 win & 3 nominations.,51.0,"$29,885,424"
195,Ghosts of Mars,2001,"Action, Horror, Sci-Fi",2 nominations.,35.0,"$7,307,616"
196,Lucky Break,2001,"Comedy, Crime, Romance",4 nominations.,48.0,$0
197,Bubble Boy,2001,"Adventure, Comedy, Romance, Sci-Fi",1 nomination.,41.0,$0
198,Monsoon Wedding,2001,"Comedy, Drama, Romance",Nominated for 1 Golden Globe. Another 7 wins & 11 nominations.,77.0,"$14,000,000"
199,O,2001,"Drama, Romance, Thriller",1 win & 1 nomination.,53.0,"$15,540,020"
200,Evolution,2001,"Comedy, Sci-Fi",2 nominations.,40.0,"$37,571,347"
201,Thirteen Conversations About One Thing,2001,Drama,8 wins & 7 nominations.,74.0,"$3,004,491"
202,Rock Star,2001,"Drama, Music",1 nomination.,54.0,$0
203,Soul Survivors,2001,"Drama, Horror, Mystery",none,20.0,"$2,014,304"
204,The Musketeer,2001,"Action, Adventure, Romance",1 nomination.,27.0,"$26,560,170"
205,All the Queen's Men,2001,"Action, Comedy, Drama, War",none,19.0,$0
186,Corky Romano,2001,"Comedy, Crime",1 nomination.,20.0,$0
185,The Princess Diaries,2001,"Comedy, Family, Romance",3 wins & 11 nominations.,52.0,"$107,785,435"
207,The Last Castle,2001,"Action, Drama, Thriller",1 win & 4 nominations.,43.0,"$17,924,798"
227,Ocean's Eleven,2001,"Crime, Thriller",4 wins & 20 nominations.,74.0,"$183,349,128"
209,Vanilla Sky,2001,"Fantasy, Mystery, Romance, Sci-Fi, Thriller",Nominated for 1 Oscar. Another 5 wins & 33 nominations.,45.0,$0
210,Nowhere in Africa,2001,"Biography, Drama",Won 1 Oscar. Another 18 wins & 6 nominations.,72.0,"$5,888,057"
211,Ali,2001,"Biography, Drama, Sport",Nominated for 2 Oscars. Another 10 wins & 25 nominations.,65.0,"$58,183,966"
212,A Beautiful Mind,2001,"Biography, Drama",Won 4 Oscars. Another 33 wins & 67 nominations.,72.0,$0
213,Winged Migration,2001,Documentary,Nominated for 1 Oscar. Another 5 wins & 14 nominations.,82.0,$0
214,Iris,2001,"Biography, Drama, Romance",Won 1 Oscar. Another 13 wins & 31 nominations.,76.0,"$5,372,026"
215,The Shipping News,2001,Drama,Nominated for 2 Golden Globes. Another 2 wins & 11 nominations.,47.0,"$11,405,825"
216,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy",Won 4 Oscars. Another 113 wins & 123 nominations.,92.0,"$314,000,000"
218,Jimmy Neutron: Boy Genius,2001,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",Nominated for 1 Oscar. Another 5 nominations.,65.0,"$80,865,848"
219,Joe Somebody,2001,"Comedy, Drama",1 nomination.,42.0,$0
217,How High,2001,"Comedy, Fantasy",none,29.0,"$31,155,435"
222,I Am Sam,2001,Drama,Nominated for 1 Oscar. Another 8 wins & 10 nominations.,28.0,"$40,270,895"
223,Black Hawk Down,2001,"Drama, History, War",Won 2 Oscars. Another 8 wins & 37 nominations.,74.0,"$108,585,355"
224,The Hole,2001,"Drama, Mystery, Thriller",1 win & 3 nominations.,0.0,$0
225,The Jimmy Show,2001,"Comedy, Drama",1 win.,39.0,$0
226,Rush Hour 2,2001,"Action, Comedy, Crime, Thriller",10 wins & 22 nominations.,48.0,$0
221,Mean Machine,2001,"Comedy, Crime, Drama, Sport",none,45.0,$0
228,Riding in Cars with Boys,2001,"Biography, Comedy, Drama",2 wins & 2 nominations.,43.0,"$29,601,298"
229,Impostor,2001,"Drama, Mystery, Sci-Fi, Thriller",1 nomination.,33.0,"$5,250,001"
187,The Curse of the Jade Scorpion,2001,"Comedy, Crime, Mystery, Romance",1 win & 1 nomination.,52.0,"$6,793,998"
230,In the Bedroom,2001,"Crime, Drama",Nominated for 5 Oscars. Another 38 wins & 69 nominations.,86.0,"$35,733,119"
184,Birthday Girl,2001,"Comedy, Crime, Thriller",1 win.,51.0,"$4,919,896"
240,The One,2001,"Action, Sci-Fi, Thriller",4 nominations.,25.0,$0
232,K-PAX,2001,"Drama, Sci-Fi",3 nominations.,49.0,"$50,040,205"
233,Life as a House,2001,Drama,Nominated for 1 Golden Globe. Another 2 wins & 8 nominations.,45.0,"$15,412,701"
234,Thir13en Ghosts,2001,Horror,3 nominations.,30.0,"$41,601,840"
235,On the Line,2001,"Comedy, Family, Romance",4 nominations.,34.0,$0
236,Domestic Disturbance,2001,"Crime, Mystery, Thriller",1 win & 3 nominations.,29.0,"$44,379,332"
237,Wasabi,2001,"Action, Drama, Comedy",none,53.0,$0
238,Shallow Hal,2001,"Comedy, Drama, Fantasy, Romance",3 nominations.,48.0,"$70,703,043"
239,"Monsters, Inc.",2001,"Animation, Adventure, Comedy, Family, Fantasy",Won 1 Oscar. Another 13 wins & 38 nominations.,78.0,"$34,034,168"
241,Gosford Park,2001,"Comedy, Drama, Mystery",Won 1 Oscar. Another 31 wins & 73 nominations.,90.0,"$41,274,328"
242,Monster's Ball,2001,"Drama, Romance",Won 1 Oscar. Another 14 wins & 22 nominations.,69.0,"$31,252,964"
243,The Wash,2001,Comedy,none,18.0,"$9,756,000"
244,Behind Enemy Lines,2001,"Action, Drama, Thriller, War",1 win & 2 nominations.,49.0,"$58,767,833"
245,Frailty,2001,"Crime, Drama, Thriller",5 wins & 16 nominations.,64.0,"$13,076,378"
246,Spy Game,2001,"Action, Crime, Thriller",3 nominations.,63.0,"$62,326,785"
247,Out Cold,2001,"Comedy, Sport",none,22.0,"$13,850,403"
248,Black Knight,2001,"Adventure, Comedy, Fantasy",2 nominations.,32.0,"$33,327,325"
249,Novocaine,2001,"Comedy, Crime, Drama, Thriller",none,45.0,"$1,512,342"
250,Texas Rangers,2001,"Action, Adventure, Drama, Thriller, Western",none,29.0,$0
208,Not Another Teen Movie,2001,Comedy,5 nominations.,32.0,"$37,882,551"
251,Original Sin,2001,"Drama, Mystery, Romance, Thriller",2 nominations.,33.0,"$15,113,699"
231,From Hell,2001,"Horror, Mystery, Thriller",10 nominations.,54.0,"$30,692,411"
252,Pearl Harbor,2001,"Action, Drama, History, Romance, War",Won 1 Oscar. Another 13 wins & 51 nominations.,44.0,"$197,761,540"
335,Angel Eyes,2001,"Drama, Romance",3 wins & 5 nominations.,39.0,$0
254,Monkeybone,2001,"Animation, Comedy, Fantasy",3 nominations.,40.0,"$4,942,155"
297,Josie and the Pussycats,2001,"Comedy, Music",5 nominations.,47.0,"$14,126,075"
257,15 Minutes,2001,"Action, Crime, Drama, Thriller",1 nomination.,34.0,"$24,160,216"
259,Get Over It,2001,"Comedy, Romance",4 nominations.,52.0,"$11,294,663"
260,Moulin Rouge!,2001,"Drama, Musical, Romance",Won 2 Oscars. Another 84 wins & 129 nominations.,66.0,"$55,093,223"
261,Say It Isn't So,2001,"Comedy, Romance",1 nomination.,21.0,"$4,847,667"
262,Exit Wounds,2001,"Action, Comedy, Crime, Drama, Thriller",3 nominations.,39.0,$0
263,Enemy at the Gates,2001,"Drama, History, War",4 nominations.,53.0,"$50,507,533"
264,Elling,2001,"Comedy, Drama",Nominated for 1 Oscar. Another 14 wins & 4 nominations.,70.0,"$63,227"
265,Spy Kids,2001,"Action, Adventure, Comedy, Family, Sci-Fi",2 wins & 10 nominations.,71.0,$0
266,Heartbreakers,2001,"Comedy, Crime, Romance",4 nominations.,47.0,$0
267,The Brothers,2001,"Comedy, Drama",1 win & 8 nominations.,50.0,"$26,553,854"
268,Brigham City,2001,"Crime, Drama, Mystery",3 wins.,62.0,$0
269,Tomcats,2001,Comedy,2 nominations.,15.0,"$12,853,541"
270,Someone Like You...,2001,"Comedy, Romance",none,32.0,"$26,714,909"
271,Blow,2001,"Biography, Crime, Drama",3 wins & 9 nominations.,52.0,$0
272,Along Came a Spider,2001,"Drama, Thriller",1 win & 1 nomination.,42.0,"$73,587,034"
273,Down to Earth,2001,"Comedy, Fantasy",3 nominations.,32.0,"$63,095,559"
274,Just Visiting,2001,"Comedy, Fantasy, Sci-Fi",none,38.0,$0
276,Saving Silverman,2001,"Comedy, Crime, Romance",none,22.0,"$18,968,154"
256,The Mexican,2001,"Adventure, Comedy, Crime, Romance",3 wins & 1 nomination.,43.0,"$66,588,591"
298,Never Again,2001,"Comedy, Romance",1 nomination.,30.0,"$196,147"
275,Sweet November,2001,"Drama, Romance",3 nominations.,27.0,"$24,418,719"
288,The Believer,2001,Drama,6 wins & 10 nominations.,75.0,$0
