,Title,Year,Genre,Awards,Metascore,BoxOffice
1696,Wanted,2008,"Action, Crime, Fantasy, Thriller",Nominated for 2 Oscars. Another 4 wins & 20 nominations.,64.0,"$134,294,280"
1720,Lake Mungo,2008,"Drama, Horror, Mystery, Thriller",1 nomination.,0.0,$0
1706,Bathory: Countess of Blood,2008,"Biography, Drama, Fantasy, History",5 wins & 4 nominations.,0.0,$0
1732,No Man's Land: The Rise of Reeker,2008,"Horror, Thriller",1 nomination.,0.0,$0
1725,Forgetting Sarah Marshall,2008,"Comedy, Drama, Romance",4 wins & 19 nominations.,67.0,"$62,900,000"
1721,The Children of Huang Shi,2008,"Drama, War",1 win & 3 nominations.,49.0,"$652,604"
1726,The Forbidden Kingdom,2008,"Action, Adventure, Fantasy",5 nominations.,57.0,"$40,044,561"
1727,Baby Mama,2008,"Comedy, Romance",1 win & 5 nominations.,55.0,"$60,269,340"
1728,Street Kings,2008,"Action, Crime, Drama, Thriller",1 nomination.,55.0,"$26,351,341"
1729,Trucker,2008,Drama,5 wins & 1 nomination.,61.0,$0
1730,"War, Inc.",2008,"Action, Comedy, Thriller",1 nomination.,37.0,"$515,643"
1731,Iron Man,2008,"Action, Adventure, Sci-Fi",Nominated for 2 Oscars. Another 20 wins & 65 nominations.,79.0,"$318,298,180"
1733,Prom Night,2008,"Horror, Mystery",1 win & 3 nominations.,17.0,"$43,818,159"
1734,Made of Honor,2008,"Comedy, Romance",1 win & 1 nomination.,37.0,"$46,012,734"
1638,High School Musical 3: Senior Year,2008,"Comedy, Drama, Family, Music, Musical, Romance",8 wins & 9 nominations.,57.0,"$90,535,406"
1736,What Happens in Vegas,2008,"Comedy, Romance",2 wins & 3 nominations.,36.0,"$80,199,843"
1735,Step Brothers,2008,Comedy,3 wins & 2 nominations.,51.0,"$100,468,793"
1744,You Don't Mess with the Zohan,2008,Comedy,2 wins & 1 nomination.,54.0,"$100,018,837"
1738,Slumdog Millionaire,2008,"Drama, Romance",Won 8 Oscars. Another 144 wins & 126 nominations.,86.0,"$141,243,551"
1739,Blindness,2008,"Drama, Mystery, Sci-Fi, Thriller",15 wins & 19 nominations.,45.0,"$3,073,392"
1741,Indiana Jones and the Kingdom of the Crystal Skull,2008,"Action, Adventure, Fantasy",Nominated for 1 BAFTA Film Award. Another 10 wins & 35 nominations.,65.0,"$316,957,122"
1742,Wendy and Lucy,2008,Drama,9 wins & 16 nominations.,80.0,"$700,720"
1743,Kung Fu Panda,2008,"Animation, Action, Adventure, Comedy, Family",Nominated for 1 Oscar. Another 14 wins & 37 nominations.,73.0,"$215,395,021"
1737,Speed Racer,2008,"Action, Adventure, Comedy, Drama, Family, Sci-Fi, Sport",13 nominations.,37.0,"$43,929,341"
1745,The Happening,2008,"Mystery, Sci-Fi, Thriller",3 wins & 10 nominations.,34.0,"$64,500,000"
1746,The Incredible Hulk,2008,"Action, Adventure, Sci-Fi",1 win & 8 nominations.,61.0,"$134,518,390"
1639,Frozen River,2008,"Crime, Drama",Nominated for 2 Oscars. Another 32 wins & 37 nominations.,82.0,"$2,061,019"
1723,Impact Point,2008,Thriller,none,0.0,$0
1757,Ondine,2009,"Drama, Mystery, Romance",6 wins & 6 nominations.,65.0,"$548,934"
1759,The Imaginarium of Doctor Parnassus,2009,"Adventure, Comedy, Fantasy, Mystery",Nominated for 2 Oscars. Another 5 wins & 21 nominations.,65.0,"$7,504,196"
